,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,424415,9,6119,1,0.9857668438069047,0.0001633986928104575,0.00032626427406199016
1,SVM,421917,2507,0,6120,0.9941771340443718,1.0,0.8299993218959789
2,Gradient Boosting Classifier,424423,1,16,6104,0.9999605150693077,0.9973856209150327,0.9986094069529653
